Week of fetchdate_orig	page_domain_root	page_url	title_new	Distinct count of ID	topic
July 4, 2022	riafan.ru	https://riafan.ru/23521229-smi_rost_inflyatsii_v_ssha_nablyudalsya_zadolgo_do_nachala_spetsoperatsii_vs_rf_na_ukraine	сми  рост инфляции в сша наблюдался задолго до начала спецоперации вс рф на украине	1	Inflation in the West
June 27, 2022	riafan.ru	https://riafan.ru/23508559-v_frs_ssha_priznali_chto_nepravil_no_sprognozirovali_buduschee_inflyatsii	в фрс сша признали  что неправильно спрогнозировали будущую инфляцию	1	Inflation in the West
June 13, 2022	riafan.ru	https://riafan.ru/23495762-ekonomist_veduta_ssha_ne_mogut_poborot_visokuyu_inflyatsiyu_i_poetomu_namekayut_na_voinu	экономист ведута  сша не могут побороть высокую инфляцию и поэтому намекают на войну	1	Inflation in the West
June 13, 2022	riafan.ru	https://riafan.ru/23495664-minfin_ssha_priznal_svoe_bessilie_pered_rostom_inflyatsii_v_strane	минфин сша признал свое бессилие перед ростом инфляции в стране	1	Inflation in the West
June 13, 2022	riafan.ru	https://riafan.ru/23494753-kongressmen_guden_rost_inflyatsii_i_tseni_na_toplivo_stanut_ubiistvennimi_dlya_baidena	конгрессмен гуден  рост инфляции и цены на топливо станут  убийственными  для байдена	1	Inflation in the West
June 13, 2022	riafan.ru	https://riafan.ru/23492517-prezident_rossii_vismeyal_zayavleniya_zapada_o_putinskoi_inflyatsii	президент россии высмеял заявления запада о  путинской инфляции	1	Inflation in the West
June 13, 2022	riafan.ru	https://riafan.ru/23489957-glava_frs_ssha_pauell_sprognoziroval_buduschii_rost_inflyatsii	глава фрс сша пауэлл спрогнозировал будущий рост инфляции	1	Inflation in the West
June 13, 2022	riafan.ru	https://riafan.ru/23488664-zapad_rasplachivaetsya_za_antirossiiskie_sanktsii_na_fone_zashkalivayuschei_inflyatsii	запад расплачивается за антироссийские санкции на фоне зашкаливающей инфляции	1	Inflation in the West
June 6, 2022	riafan.ru	https://riafan.ru/23483931-baiden_svyazal_rekordnuyu_inflyatsiyu_v_ssha_s_pomosch_yu_ukraine	байден связал рекордную инфляцию в сша с помощью украине	1	Inflation in the West
June 6, 2022	riafan.ru	https://riafan.ru/23483612-zhitel_nitsi_ssha_stolknulis_s_defitsitom_tamponov_i_prokladok_iz_za_inflyatsii	жительницы сша столкнулись с дефицитом тампонов и прокладок из за инфляции	1	Inflation in the West
June 6, 2022	riafan.ru	https://riafan.ru/23482321-inflyatsiya_v_ssha_ustanovila_ocherednoi_rekord	инфляция в сша установила очередной рекорд	1	Inflation in the West
