Week of fetchdate_orig	OR and OR2 and AND filters	title_new	ID	Regex String (AND)	Regex String (OR)	Regex String (OR)#2
21 February 2022	True	взгляд   машину российских журналистов обстреляли в донбассе    новости дня	168958	(?=.*).*	(донбасс)	(обстрел|всу|наци)
21 February 2022	True	взгляд   больше    бойцов всу сдались в плен в донбассе    новости дня	168627	(?=.*).*	(донбасс)	(обстрел|всу|наци)
21 February 2022	True	взгляд   украинские военные попали в зоопарк при обстрелах донбасса    новости дня	168108	(?=.*).*	(донбасс)	(обстрел|всу|наци)
21 February 2022	True	взгляд   российские журналисты попали под обстрел в донбассе    новости дня	168048	(?=.*).*	(донбасс)	(обстрел|всу|наци)
28 February 2022	True	взгляд   в днр рассказали о зверствах всу в донбассе    новости дня	169719	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	в лнр считают  что в обстреле донбасса виноват зеленский   украина	445620	(?=.*).*	(донбасс)	(обстрел|всу|наци)
21 February 2022	True	шойгу сообщил о последствиях украинских обстрелов в донбассе   москва	445052	(?=.*).*	(донбасс)	(обстрел|всу|наци)
21 February 2022	True	что произошло на донбассе за вечер  обстрелы  взрывы  признание независимости   москва	445154	(?=.*).*	(донбасс)	(обстрел|всу|наци)
21 February 2022	True	обстрелы  беспокойство оон и отмена встречи путина и байдена  ситуация в донбассе к этому часу   москва	445737	(?=.*).*	(донбасс)	(обстрел|всу|наци)
28 February 2022	True	бастрыкин поручил проверить факты обстрела жителей донбасса   москва	446145	(?=.*).*	(донбасс)	(обстрел|всу|наци)
30 May 2022	True	донбасс зачистят от остатков всу в ближайшее время  заявили в госдуме	227612	(?=.*).*	(донбасс)	(обстрел|всу|наци)
30 May 2022	True	депутат призвал отогнать всу от донбасса  чтобы исключить применение рсзо	227620	(?=.*).*	(донбасс)	(обстрел|всу|наци)
30 May 2022	True	ск завел новые дела на украинских силовиков за обстрелы донбасса	237283	(?=.*).*	(донбасс)	(обстрел|всу|наци)
30 May 2022	True	в риме протестующие потребовали расследовать преступления всу в донбассе	225656	(?=.*).*	(донбасс)	(обстрел|всу|наци)
6 June 2022	True	три сотрудника  воды донбасса  пострадали при обстреле всу горводоканала	235348	(?=.*).*	(донбасс)	(обстрел|всу|наци)
6 June 2022	True	группировка всу в донбассе несет значительные потери  заявило минобороны	224958	(?=.*).*	(донбасс)	(обстрел|всу|наци)
6 June 2022	True	в лнр обвинили всу в преднамеренном нанесении ущерба природе донбасса	230125	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 March 2022	True	ск россии возбудил два дела по фактам обстрелов украинскими военными территории донбасса	250060	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 March 2022	True	ск россии возбудил ещё два дела в связи с массированными обстрелами жителей донбасса	249395	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 March 2022	True	ск россии возбудил ещё два дела в связи с массированными обстрелами донбасса	247128	(?=.*).*	(донбасс)	(обстрел|всу|наци)
21 March 2022	True	стрингер rt снял на видео одну из бывших огневых точек всу в донбассе	246856	(?=.*).*	(донбасс)	(обстрел|всу|наци)
21 March 2022	True	ск возбудил новые уголовные дела по фактам обстрелов донбасса	246963	(?=.*).*	(донбасс)	(обстрел|всу|наци)
28 March 2022	True	прекрасная россия бу бу бу   окружение всу в донбассе   русофобия теперь мейнстрим	241094	(?=.*).*	(донбасс)	(обстрел|всу|наци)
28 March 2022	True	на украине ракетами уничтожена бронетехника всу  которая направлялась в донбасс	251011	(?=.*).*	(донбасс)	(обстрел|всу|наци)
21 February 2022	True	жители донбасса  всу минировали школы перед спецоперацией рф	294243	(?=.*).*	(донбасс)	(обстрел|всу|наци)
21 February 2022	True	беженка из донбасса рассказала о действиях мародеров всу	294240	(?=.*).*	(донбасс)	(обстрел|всу|наци)
28 February 2022	True	гуманитарная миссия из хмао попала под обстрел на донбассе	295836	(?=.*).*	(донбасс)	(обстрел|всу|наци)
28 February 2022	True	жительница донбасса бежала в янао после расстрела автобуса всу	298293	(?=.*).*	(донбасс)	(обстрел|всу|наци)
28 February 2022	True	ск проверит информацию о планах всу атаковать крым и донбасс	294024	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 March 2022	True	пенсионер из донбасса бежал в янао после обстрела шахты всу	293744	(?=.*).*	(донбасс)	(обстрел|всу|наци)
