fetchdate_orig	page_domain_root	page_url	title_new	ID
17/07/2022 00:00:00	aif.ru	https://aif.ru/politics/world/v_hersone_prokommentirovali_zayavleniya_kieva_o_skorom_osvobozhdenii_goroda	в херсоне прокомментировали заявления киева о скором  освобождении  города	179566
20/07/2022 00:00:00	aif.ru	https://aif.ru/politics/lavrov_est_sposob_zashchity_osvobozhdennyh_territoriy_ot_napadeniy_kieva	лавров  есть способ защиты освобожденных территорий от нападений киева	178788
20/07/2022 00:00:00	aif.ru	https://aif.ru/politics/world/posolstvo_rf_v_ssha_rf_vozvrashchaet_mir_na_osvobozhdennye_territorii_ukrainy	посольство рф в сша  россия возвращает мир на освобожденные территории	184013
21/07/2022 00:00:00	aif.ru	https://aif.ru/society/nature/kadyrov_nazval_lvyat-albinosov_v_chest_osvobozhdennyh_territoriy_ukrainy	кадыров назвал львят альбиносов в честь освобожденных территорий украины	183689
27/07/2022 00:00:00	aif.ru	https://aif.ru/incidents/rosgvardiya_zaderzhala_21_posobnika_vsu_i_sbu_na_osvobozhdennyh_territoriyah	росгвардия задержала    пособника всу и сбу на освобожденных территориях	183878
28/07/2022 00:00:00	aif.ru	https://aif.ru/culture/vga_novyy_pamyatnik_pushkinu_ustanovyat_v_zaporozhe_posle_ego_osvobozhdeniya	памятник пушкину вернут в запорожье после его освобождения от националистов	183569
28/07/2022 00:00:00	aif.ru	https://aif.ru/politics/peskov_prokommentiroval_zayavlenie_pushilina_o_neobhodimosti_osvobozhdat_kiev	песков прокомментировал заявление пушилина о необходимости освобождать киев	182431
30/07/2022 00:00:00	aif.ru	https://aif.ru/politics/world/voennye_rf_dostavili_pyat_tonn_gumpomoshchi_v_osvobozhdyonnoe_selo_v_lnr	военные рф доставили пять тонн гумпомощи в освобождённое село в лнр	183909
09/01/2022 00:00:00	amic.ru	https://www.amic.ru/news/495716/	в главном ковидном госпитале алтая освобождают отделения для лечения от других болезней	100326
12/02/2022 00:00:00	amic.ru	https://www.amic.ru/news/ekonomika/lgoty	жкх  шесть соток  газификация  от каких налогов и пошлин освободят пенсионеров в      году	72094
29/06/2022 00:00:00	amic.ru	https://www.amic.ru/news/obschestvo/er-napravit-v-donbass-i-osvobozhdennye-territorii-russkuyu-literaturu	ер направит в донбасс и на освобождённые территории русскую литературу	122523
21/03/2022 00:00:00	anna-news.info	https://anna-news.info/operatsiya-po-osvobozhdeniyu-mariupolya-prodolzhaetsya-itogi-nedeli-20-03-22/	операция по освобождению мариуполя продолжается    итоги недели	78687
22/03/2022 00:00:00	anna-news.info	https://anna-news.info/vooruzhennye-sily-rossii-i-podrazdeleniya-dnr-osvobodili-pochti-polovinu-mariupolya-itogi-dnya-22-03-2022/	вооруженные силы россии и подразделения днр освободили почти половину мариуполя	73868
04/04/2022 00:00:00	anna-news.info	https://anna-news.info/osvobozhdyonnyh-stepej-dnr-na-trasse-mariupol-berdyansk/	военкоры wargonzo засняли  дикий запад  освобождённых степей днр на трассе мариуполь бердянск	67100
09/04/2022 00:00:00	anna-news.info	https://anna-news.info/podrazdeleniya-dnr-i-rossijskoj-armii-osvobodili-bolshuyu-chast-mariupolskogo-porta/	подразделения днр и российской армии освободили большую часть мариупольского порта	75596
11/04/2022 00:00:00	anna-news.info	https://anna-news.info/basurin-osvobozhdat-podzemelya-zavoda-azovstal-budut-pri-pomoshhi-himvojsk/	басурин  освобождать подземелья завода  азовсталь  будут при помощи химвойск	81202
