Week of fetchdate_orig	OR and OR2 and AND filters	title_new	ID	Regex String (AND)	Regex String (OR)	Regex String (OR)#2
20 June 2022	True	европа взвыла от украинских беженцев  смотрят на хлеб  как на мусор	335104	(?=.*).*	(бежен)	(европ)
27 June 2022	True	в европе растет недовольство украинскими беженцами	335870	(?=.*).*	(бежен)	(европ)
27 June 2022	True	европа заставит украинцев заплатить  как в ес выгоняют украинских беженцев	337765	(?=.*).*	(бежен)	(европ)
7 March 2022	True	беженцы с украины сталкиваются с криминалом на европейских кпп   минобороны	29059	(?=.*).*	(бежен)	(европ)
6 June 2022	True	украинские беженцы оказывают серьезное давление на европу	536797	(?=.*).*	(бежен)	(европ)
20 June 2022	True	европол заявил о проверке     онлайн платформ на предмет эксплуатации украинских беженцев   газета ru	314743	(?=.*).*	(бежен)	(европ)
14 February 2022	True	в европарламенте не исключили наплыва беженцев с украины в европу	242965	(?=.*).*	(бежен)	(европ)
11 July 2022	True	захарова рассказала о  незавидной судьбе  украинских беженцев в европе	485568	(?=.*).*	(бежен)	(европ)
14 March 2022	True	макрон назвал наплыв беженцев из украины крупнейшим вызовом для европы	328662	(?=.*).*	(бежен)	(европ)
21 March 2022	True	рабство  дискриминация и хаос  с чем сталкиваются украинские беженцы в европе	332658	(?=.*).*	(бежен)	(европ)
4 July 2022	True	европейцы открыто демонстрируют украинским беженцам  что им не рады	351505	(?=.*).*	(бежен)	(европ)
20 June 2022	True	украинские беженцы в европе зарабатывают деньги на дезертирах	427163	(?=.*).*	(бежен)	(европ)
20 June 2022	True	the guardian спрогнозировала обострение кризиса с украинскими беженцами в европе	436797	(?=.*).*	(бежен)	(европ)
20 June 2022	True	беременные украинские беженки массово едут рожать в европу в надежде на гражданство	439629	(?=.*).*	(бежен)	(европ)
20 June 2022	True	украинские беженцы требуют скидки на аренду и бесплатные развлечения в европе	439568	(?=.*).*	(бежен)	(европ)
20 June 2022	True	в европе выявили крупную сеть торговцев украинскими беженцами	438320	(?=.*).*	(бежен)	(европ)
20 June 2022	True	украинские беженцы нашли новые способы обмана европейцев	439319	(?=.*).*	(бежен)	(европ)
20 June 2022	True	правозащитник ионов рассказал о циничном отношении европейцев к украинским беженцам	431466	(?=.*).*	(бежен)	(европ)
27 June 2022	True	михаил смолин  европейская помощь украинским беженцам подходит к концу	423653	(?=.*).*	(бежен)	(европ)
11 July 2022	True	экс сенатор клинцевич  украинские беженцы привносят смуту в европейскую жизнь	432186	(?=.*).*	(бежен)	(европ)
18 July 2022	True	в восточной европе растет неприязнь к украинским беженцам	427333	(?=.*).*	(бежен)	(европ)
18 July 2022	True	своя рубаха ближе к телу   европа не сможет долго содержать украинских беженцев	431407	(?=.*).*	(бежен)	(европ)
25 July 2022	True	правозащитница саченко заявила  что власти европы не фиксируют случаи торговли беженцами	434831	(?=.*).*	(бежен)	(европ)
25 July 2022	True	инфляция вынудила европу отвернуться от украинских беженцев	430156	(?=.*).*	(бежен)	(европ)
11 April 2022	True	блогер монтян  европейцы не смогут долго терпеть вседозволенность украинских беженцев	421081	(?=.*).*	(бежен)	(европ)
11 April 2022	True	будут требовать  куликов предупредил  что ждет европу от украинских беженцев	423296	(?=.*).*	(бежен)	(европ)
11 April 2022	True	финансовые аппетиты украинских беженцев обескуражили европейцев	420120	(?=.*).*	(бежен)	(европ)
18 April 2022	True	политолог мухин предрек всплеск преступности из за наплыва украинских беженцев в европу	417485	(?=.*).*	(бежен)	(европ)
18 April 2022	True	путешествия  бедных  украинских беженцев по европе озадачили пользователей сети	429538	(?=.*).*	(бежен)	(европ)
25 April 2022	True	журналист кот  беженцы из украины окажутся большой проблемой для европы	433671	(?=.*).*	(бежен)	(европ)
4 April 2022	True	ложные надежды  как прибывающие в европу беженцы оказываются в ловушке работорговцев	478124	(?=.*).*	(бежен)	(европ)
4 April 2022	True	временная защита  как в европе принимают беженцев из украины	479993	(?=.*).*	(бежен)	(европ)
28 March 2022	True	в китае сообщили  что европа  кинула  украинских беженцев	521380	(?=.*).*	(бежен)	(европ)
18 April 2022	True	восточная европа оказалась  психологически  не готова к беженцам с украины	522608	(?=.*).*	(бежен)	(европ)
14 February 2022	True	депутат европарламента не исключил наплыва в европу беженцев с украины	367274	(?=.*).*	(бежен)	(европ)
23 May 2022	True	сатановский назвал украинских беженцев  диким селом   которое разрушит европу	527214	(?=.*).*	(бежен)	(европ)
23 May 2022	True	украинские  беженцы  обозлились на европу после изгнания из отеля в польше	528056	(?=.*).*	(бежен)	(европ)
23 May 2022	True	норкин  украинским  беженцам  недолго осталось радоваться в нетолерантной европе	527840	(?=.*).*	(бежен)	(европ)
21 February 2022	True	украинские беженцы сутками стоят у западной границы  чтобы попасть в европу    ад и хаос	347507	(?=.*).*	(бежен)	(европ)
28 February 2022	True	европейцы приютили беженцев из украины  а теперь плачут   у вас хватает вообще совести	344711	(?=.*).*	(бежен)	(европ)
28 February 2022	True	европейцы приютили беженцев с украины  а теперь плачут   у вас хватает вообще совести	341768	(?=.*).*	(бежен)	(европ)
4 April 2022	True	европе грозит неуправляемый поток беженцев из африки	344081	(?=.*).*	(бежен)	(европ)
11 April 2022	True	европе от беженцев из украины нужна дешевая рабочая сила	347061	(?=.*).*	(бежен)	(европ)
7 February 2022	True	австрийский аналитик рассказал  когда из европы хлынет волна беженцев   последние новости  россии  украины  сирии и мира  новости новороссии  лнр  днр	77124	(?=.*).*	(бежен)	(европ)
21 February 2022	True	сша намерены посадить украинских беженцев на шею европе   последние новости  россии  украины  сирии и мира  новости новороссии  лнр  днр	88467	(?=.*).*	(бежен)	(европ)
21 March 2022	True	приходы русской православной церкви в европе передают гуманитарную помощь пострадавшим мирным жителям  информационная сводка о помощи беженцам  от    марта      года    статьи   патриархия ru	87338	(?=.*).*	(бежен)	(европ)
2 May 2022	True	в европарламенте напомнили о проблемах трудоустройства украинских беженцев в ес	245422	(?=.*).*	(бежен)	(европ)
20 June 2022	True	украинские беженцы становятся товаром для работорговцев   европол	394172	(?=.*).*	(бежен)	(европ)
31 January 2022	True	сша и европа приготовятся к наплыву беженцев с украины	278151	(?=.*).*	(бежен)	(европ)
21 February 2022	True	белый дом предупредил европу о  массовом исходе  беженцев с украины	278069	(?=.*).*	(бежен)	(европ)
30 May 2022	True	топ   стран ес  которым надоели беженцы  как под предлогом курортного сезона европейцы сворачивают помощь украинцам	87079	(?=.*).*	(бежен)	(европ)
27 June 2022	True	журналист осташко рассказал  что европа столкнётся с потоком голодных беженцев из африки	108985	(?=.*).*	(бежен)	(европ)
25 July 2022	True	беженцы с украины в европе  дорогие автомобили  миллионеры  пособия	74325	(?=.*).*	(бежен)	(европ)
6 June 2022	True	в европе приостанавливают выплаты для украинских беженцев и отправляют их на работу	106366	(?=.*).*	(бежен)	(европ)
25 April 2022	True	в россии предрекли большие проблемы европе из за    млн украинских беженцев	107050	(?=.*).*	(бежен)	(европ)
4 April 2022	True	лысаков рассказал  как украинские беженцы влияют на экономику европы	9537	(?=.*).*	(бежен)	(европ)
7 February 2022	True	британия подготовит военных на случай кризиса c беженцами в европе	201791	(?=.*).*	(бежен)	(европ)
4 April 2022	True	ирландский журналист предупредил о расколе в европе из за наплыва украинских беженцев	131753	(?=.*).*	(бежен)	(европ)
21 February 2022	True	сша готовы принимать украинских беженцев  но надеются  что они предпочтут европу	343254	(?=.*).*	(бежен)	(европ)
