fetchdate_orig	page_domain_root	page_url	title_new	OR and OR2 and AND filters	ID	Regex String (AND)	Regex String (OR)	Regex String (OR)#2
14/01/2022 00:00:00	argumenti.ru	https://argumenti.ru/world/2022/01/754941	глава восточного комитета экономики фрг хермес  отключение россии от swift создаст значительные проблемы для стран запада	True	487448	(?=.*).*	(swift)	()
16/01/2022 00:00:00	argumenti.ru	https://argumenti.ru/economics/2022/01/755271	немецкий политик фридрих мерц назвал отключение россии от системы swift  атомной бомбой  для рынка	True	490015	(?=.*).*	(swift)	()
17/01/2022 00:00:00	argumenti.ru	https://argumenti.ru/world/2022/01/755436	handelsblatt  сша и евросоюз отказались от идеи отключения россии от платежной системы swift	True	487276	(?=.*).*	(swift)	()
18/01/2022 00:00:00	argumenti.ru	https://argumenti.ru/politics/2022/01/755607	в германии оценили последствия возможного отключения россии от платежной системы swift	True	490285	(?=.*).*	(swift)	()
18/01/2022 00:00:00	argumenti.ru	https://argumenti.ru/world/2022/01/755469	представитель совета национальной безопасности сша допустил отключение рф от swift	True	491148	(?=.*).*	(swift)	()
23/01/2022 00:00:00	argumenti.ru	https://argumenti.ru/economics/2022/01/756247	газета the telegraph сообщила  что великобритания может поддержать инициативу отключения россии от swift	True	487235	(?=.*).*	(swift)	()
23/01/2022 00:00:00	argumenti.ru	https://argumenti.ru/economics/2022/01/756297	дипломат гаврилов назвал угрозы отключить россию от системы swift несерьезными	True	487300	(?=.*).*	(swift)	()
24/01/2022 00:00:00	argumenti.ru	https://argumenti.ru/politics/2022/01/756419	euractiv сообщает  что германия сняла с рассмотрения вопрос об отключении россии от swift	True	490762	(?=.*).*	(swift)	()
28/01/2022 00:00:00	argumenti.ru	https://argumenti.ru/world/2022/01/757217	wsj  сша не будут ограничивать нефтегазовый экспорт и отключать рф от swift при  вторжении  на украину	True	490051	(?=.*).*	(swift)	()
24/01/2022 00:00:00	gazeta.ru	https://www.gazeta.ru/business/news/2022/01/23/17180935.shtml	российский дипломат оценил угрозы ес отключить россию от swift   газета ru	True	317275	(?=.*).*	(swift)	()
24/01/2022 00:00:00	gazeta.ru	https://www.gazeta.ru/politics/news/2022/01/24/17184211.shtml	боррель трижды не понял вопроса журналистов об отключении россии от swift   газета ru	True	309941	(?=.*).*	(swift)	()
24/01/2022 00:00:00	gazeta.ru	https://www.gazeta.ru/politics/news/2022/01/24/17185153.shtml	фрг сняла с рассмотрения вопрос об отключении россии от системы swift   газета ru	True	310110	(?=.*).*	(swift)	()
27/01/2022 00:00:00	gazeta.ru	https://www.gazeta.ru/business/news/2022/01/27/17201557.shtml	медведев заявил  что не верит в отключение россии от swift   газета ru	True	308177	(?=.*).*	(swift)	()
04/02/2022 00:00:00	gazeta.ru	https://www.gazeta.ru/business/news/2022/02/04/17239261.shtml	на украине выступили против отключения россии от swift   газета ru	True	307503	(?=.*).*	(swift)	()
12/02/2022 00:00:00	gazeta.ru	https://www.gazeta.ru/business/news/2022/02/12/17278837.shtml	запад не собирается отключать россию от swift   газета ru	True	315827	(?=.*).*	(swift)	()
06/06/2022 00:00:00	ria.ru	https://ria.ru/20220606/banki-1793434614.html	медведев рассказал  что отключение от swift не повлияло на работу банков	True	235322	(?=.*).*	(swift)	()
12/02/2022 00:00:00	riafan.ru	https://riafan.ru/1605955-agentstvo-reuters-ssha-i-evropa-otkazalis-otklyuchat-rossiyu-ot-swift	агентство reuters  сша и европа отказались отключать россию от swift	True	417801	(?=.*).*	(swift)	()
