Week of fetchdate_orig	OR and OR2 and AND filters	title_new	ID	Regex String (AND)	Regex String (OR)	Regex String (OR)#2
2 May 2022	True	коридор для эвакуации гражданских с  азовстали  будет открыт     мая с   утра до   вечера	336390	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
2 May 2022	True	ск россии даст оценку обстрелу украинскими силовиками мирных жителей при получении гумпомощи	337179	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
23 May 2022	True	вскрыто логово нацистов в подземельях  азовстали   пропахшие кровью коридоры  мешки для трупов и бесполезное оружие	338706	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
23 May 2022	True	минобороны россии открывает два коридора для выхода иностранных судов из портов черного и азовского морей	337908	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
25 April 2022	True	гуманитарная колонна попала под обстрел под белгородом	113604	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
27 June 2022	True	на территории  азовстали  эксгумировали останки украинских военных	87910	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
4 July 2022	True	в донецкий роддом  разбомбленный всу  привезли гуманитарную помощь	430239	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
28 March 2022	True	в минобороны рф заявили об обстрелах гуманитарных коридоров	173634	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
28 February 2022	True	в мариуполе два мирных жителя погибли при обстреле гумкоридора украинскими боевиками   москва	445091	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
21 February 2022	True	в днр заявили о готовности предоставить гумкоридор для бойцов всу	243496	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
28 February 2022	True	басурин   азов  и  правый сектор  не выпускают жителей мариуполя в гуманитарный коридор	266206	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
13 June 2022	True	оон считает обстрел роддома в донецке нарушением гуманитарного права	268905	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
21 February 2022	True	обсе признала нарушение всу международного гуманитарного права	272074	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
4 July 2022	True	шойгу сообщил о коридорах для прохода судов в чёрном и азовском морях	400754	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
28 February 2022	True	гуманитарную помощь в освобожденный бугас доставили под обстрелами	26152	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
25 July 2022	True	в энергодаре сообщили об обстреле всу гуманитарной колонны	290901	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
18 April 2022	True	националисты с  азовстали  не воспользовались коридором для сдачи в плен	55753	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
21 February 2022	True	в днр заявили  что всу не пускают украинцев к гуманитарным коридорам	137253	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
14 March 2022	True	пушилин заявил  что всу перехватывают гуманитарные грузы	144472	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
2 May 2022	True	вышедшие с  азовстали  гражданские не знали о гуманитарных коридорах	82823	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
14 March 2022	True	глава днр обвинил боевиков всу в присвоении гуманитарных грузов для населения	21029	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
4 April 2022	True	всу обстреляли жителей рубежного в момент раздачи гуманитарной помощи	61879	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
18 April 2022	True	минобороны рф объявило об открытии гуманитарного коридора из  азовстали	505054	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
18 April 2022	True	минобороны обвинило украину в срыве гуманитарной операции на  азовстали	501321	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
2 May 2022	True	минобороны россии анонсировало гуманитарные коридоры с  азовстали  с   по   мая	501034	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
16 May 2022	True	песков  путин отменил штурм  азовстали  из гуманных соображений	506248	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
23 May 2022	True	минобороны создало гумкоридоры в черном и азовском морях для выхода иностранных судов	504426	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
16 May 2022	True	мария захарова  зеленский лжет  выдавая сдачу в плен на  азовстали  за гуманитарную операцию	473318	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
16 May 2022	True	на въезде в город попасная колонна волонтеров с гумпомощью попала под обстрел	472419	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
18 April 2022	True	днр  гумкоридором для военных из  азовстали  никто не воспользовался	510109	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
18 April 2022	True	открылся гуманитарный коридор из  азовстали  в мариуполе	518172	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
25 April 2022	True	минобороны рф  сегодня гумкоридором из  азовстали  никто не воспользовался	513162	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
25 April 2022	True	украина попросила у оон и красного креста помощи с гумкоридором из  азовстали	518508	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
25 April 2022	True	украина попросила у оон и красного креста помощь с гумкоридором из  азовстали	518504	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
28 February 2022	True	басурин   азов  взорвал жилой дом в мариуполе после объявления об открытии гумкоридоров	64929	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
28 February 2022	True	в мариуполе боевики  азова  взорвали жилой дом после объявления о гуманитарном коридоре   новости оренбурга и оренбургской области на риа	59934	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
13 June 2022	True	оон считает обстрел роддома в донецке нарушением гуманитарного права	172006	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
25 April 2022	True	в штабе по гуманитарному реагированию рф предупредили о провокациях всу	98782	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
25 April 2022	True	минобороны рф  из домов у  азовстали  по гумкоридорам вышли   группы мирных жителей	116422	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
16 May 2022	True	песков  приказ путина по  азовстали  был отдан из гуманитарных соображений	112983	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
20 June 2022	True	всу наносят удары по местам раздачи гумпомощи в северодонецке	239659	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
20 June 2022	True	всу на  азоте  не говорили заложникам о гумкоридоре  заявил кадыров	232004	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
27 June 2022	True	на территории  азовстали  эксгумировали останки     украинских военных	226026	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
25 April 2022	True	подразделения всу обстреляли гуманитарную колонну в районе белгорода	434479	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
25 April 2022	True	ск россии проверит инцидент с минометным обстрелом гуманитарной колонны под харьковом	430055	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
25 April 2022	True	события в донбассе на          апреля  гумпомощь от ставрополья  подавление всу на  азовстали	416142	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
2 May 2022	True	нм лнр  ракетные удары всу по петровскому могли привести к гуманитарной катастрофе	421033	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
2 May 2022	True	всу многократно обстреливали открытые россией гуманитарные коридоры	416458	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
2 May 2022	True	минобороны россии откроет  зеленые  коридоры     мая для эвакуации с  азовстали	405331	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
2 May 2022	True	азов  скрывал от спасшихся мариупольцев информацию о персональных  зеленых  коридорах	412976	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
2 May 2022	True	ск расследует обстрел всу жилых кварталов под николаевом при разгрузке гумпомощи	405575	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
4 April 2022	True	гуманитарная помощь среди руин  первые кадры из разрушенного всу города изюм	481152	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
